year	pubAll	pubSame_speciesMusMusculus	pubDiff_speciesMusMusculus
1781	69	0	0
1785	43	0	0
1786	60	0	0
1787	43	0	0
1788	33	0	0
1789	32	0	0
1790	45	0	0
1791	19	0	0
1792	33	0	0
1793	17	0	0
1794	18	0	0
1795	13	0	0
1796	20	0	0
1797	69	0	0
1798	19	0	0
1799	300	0	0
1800	387	0	0
1801	368	0	0
1802	291	0	0
1803	269	0	0
1804	304	0	0
1805	314	0	0
1806	282	0	0
1807	295	0	0
1808	289	0	0
1809	265	0	0
1810	267	0	0
1811	322	0	0
1812	239	0	0
1813	265	0	0
1814	285	0	0
1815	222	0	0
1816	315	0	0
1817	288	0	0
1818	279	0	0
1819	225	0	0
1820	213	0	0
1821	270	0	0
1822	247	0	0
1823	291	0	0
1824	269	0	0
1825	262	0	0
1826	385	0	0
1827	327	0	0
1828	409	0	0
1829	568	0	0
1830	510	0	0
1831	579	0	0
1832	285	0	0
1833	221	0	0
1834	209	0	0
1835	222	0	0
1836	220	0	0
1837	281	0	0
1838	265	0	0
1839	289	0	0
1840	388	0	0
1841	805	0	0
1842	972	0	0
1843	813	0	0
1844	609	0	0
1845	589	0	0
1846	561	0	0
1847	523	0	0
1848	501	0	0
1849	434	0	0
1850	463	0	0
1851	546	0	0
1852	527	0	0
1853	592	0	0
1854	428	0	0
1855	690	0	0
1856	629	0	0
1857	668	0	0
1858	716	0	0
1859	593	0	0
1860	719	0	0
1861	488	0	0
1862	462	0	0
1863	377	0	0
1864	521	0	0
1865	466	0	0
1866	792	0	0
1867	989	0	0
1868	1101	0	0
1869	1175	0	0
1870	1073	0	0
1871	1103	0	0
1872	1365	0	0
1873	1353	0	0
1874	1185	0	0
1875	1140	0	0
1876	1143	0	0
1877	1135	0	0
1878	1305	0	0
1879	1252	0	0
1880	1496	0	0
1881	1554	0	0
1882	1214	0	0
1883	1803	0	0
1884	1804	0	0
1885	2021	0	0
1886	2127	0	0
1887	2630	0	0
1888	2591	0	0
1889	3007	0	0
1890	2572	0	0
1891	2252	0	0
1892	2834	0	0
1893	3229	0	0
1894	2812	0	0
1895	3014	0	0
1896	3224	0	0
1897	3399	0	0
1898	3483	0	0
1899	3156	0	0
1900	3128	0	0
1901	3195	0	0
1902	3285	0	0
1903	3427	0	0
1904	3617	0	0
1905	3660	0	0
1906	3557	0	0
1907	3863	0	0
1908	4233	0	0
1909	4563	0	0
1910	4638	0	0
1911	4814	0	0
1912	4717	0	0
1913	5009	0	0
1914	5029	0	0
1915	4488	0	0
1916	4307	0	0
1917	4010	0	0
1918	4066	0	0
1919	4387	0	0
1920	5034	0	0
1921	4632	0	0
1922	4101	0	0
1923	4451	0	0
1924	4933	0	0
1925	5039	0	0
1926	5382	0	0
1927	5932	0	0
1928	5506	0	0
1929	5732	0	0
1930	5669	0	0
1931	5538	0	0
1932	5597	0	0
1933	5651	0	0
1934	5556	0	0
1935	5697	0	0
1936	5411	0	0
1937	5349	0	0
1938	5807	0	0
1939	5588	0	0
1940	4981	0	0
1941	4848	0	0
1942	4772	0	0
1943	4526	0	0
1944	4579	0	0
1945	18690	0	0
1946	50536	0	0
1947	62107	0	0
1948	70757	0	0
1949	62658	0	0
1950	85322	0	0
1951	103641	0	0
1952	108030	1	0
1953	108786	0	0
1954	105915	0	0
1955	108506	0	0
1956	106894	0	0
1957	111400	0	0
1958	109271	0	0
1959	109893	1	0
1960	112135	0	0
1961	120029	0	0
1962	125654	1	0
1963	141475	0	0
1964	162027	0	0
1965	176633	0	0
1966	180090	2	0
1967	191999	5	0
1968	208105	1	0
1969	215230	1	0
1970	219306	0	0
1971	223559	0	0
1972	227742	0	0
1973	231008	0	0
1974	235137	1	0
1975	249059	7	2
1976	254935	14	0
1977	262175	16	2
1978	272367	11	2
1979	281962	19	6
1980	280521	23	4
1981	283391	22	9
1982	295422	33	10
1983	309280	41	24
1984	318183	54	30
1985	335028	65	40
1986	349315	57	72
1987	367588	74	99
1988	386767	80	65
1989	402331	91	77
1990	410258	107	104
1991	412842	137	117
1992	417625	138	114
1993	426213	182	130
1994	437907	256	140
1995	448342	309	155
1996	458013	351	250
1997	449087	529	258
1998	470863	618	359
1999	488176	782	365
2000	526346	906	396
2001	541272	1016	410
2002	567544	1186	443
2003	586170	1440	545
2004	620757	1642	594
2005	656987	2138	662
2006	687282	2608	820
2007	712625	3518	1104
2008	751436	6662	1994
2009	785315	11581	3550
2010	833422	14567	4172
2011	877401	16963	4808
2012	940900	21351	6249
2013	996632	23348	7180
2014	1044260	25769	7691
2015	1087259	27806	8552
2016	1113943	31139	9543
2017	1123788	34518	10928
2018	1170812	36782	11722
2019	1311209	36814	12041
2020	18465	205	65
2021	7	0	0
